111,2022-01-01,1011,Daily Rental Fee,60,9,69
112,2022-01-02,1202,Weekly Rental Fee,300,45,345
113,2022-01-03,1304,Monthly Stand Fee,175,26.25,201.25
114,2022-01-04,1412,Daily Rental Fee,60,9,69
115,2022-01-05,1623,Weekly Rental Fee,300,45,345
116,2022-01-06,1325,Monthly Stand Fee,175,26.25,201.25
117,2022-01-07,1546,Daily Rental Fee,60,9,69
118,2022-01-08,1737,Weekly Rental Fee,300,45,345
119,2022-01-09,1848,Monthly Stand Fee,175,26.25,201.25
120,2022-01-10,1254,Daily Rental Fee,60,9,69
121,2022-01-11,1765,Weekly Rental Fee,300,45,345
122,2022-01-12,1921,Monthly Stand Fee,175,26.25,201.25
123,2022-01-13,1045,Daily Rental Fee,60,9,69
124,2022-01-14,1156,Weekly Rental Fee,300,45,345
125,2022-01-15,1267,Monthly Stand Fee,175,26.25,201.25
126,2022-01-16,1378,Daily Rental Fee,60,9,69
127,2022-01-17,1489,Weekly Rental Fee,300,45,345
128,2022-01-18,1590,Monthly Stand Fee,175,26.25,201.25
129,2022-01-19,1201,Daily Rental Fee,60,9,69
130,2022-01-20,1322,Weekly Rental Fee,300,45,345
131,2022-01-21,1433,Monthly Stand Fee,175,26.25,201.25
132,2022-01-22,1544,Daily Rental Fee,60,9,69
133,2022-01-23,1655,Weekly Rental Fee,300,45,345
134,2022-01-24,1766,Monthly Stand Fee,175,26.25,201.25
135,2022-01-25,1877,Daily Rental Fee,60,9,69
136,2022-01-26,1988,Weekly Rental Fee,300,45,345
137,2022-01-27,1100,Monthly Stand Fee,175,26.25,201.25
138,2022-01-28,1211,Daily Rental Fee,60,9,69
139,2022-01-29,1323,Weekly Rental Fee,300,45,345
140,2022-01-30,1434,Monthly Stand Fee,175,26.25,201.25
143,2024-01-01,Monthly Stand Fees,180,175.00,26.25,201.25
144,2024-01-01,Monthly Stand Fees,100,175.00,26.25,201.25
145,2024-01-01,Monthly Stand Fees,1234,175.00,26.25,201.25
146,2024-01-01,Monthly Stand Fees,147,175.00,26.25,201.25
